입력코드,항목명,항목분류내용,처리코드,포함항목,제외항목,출처
1747,영양보조제,,,콜라겐,,조사사례집
1747,영양보조제,,,크릴오일,,조사사례집
1747,영양보조제,,,메디푸드캔,,조사사례집
1740,기타음료수,,,컨디션레이디,,조사사례집
1740,기타음료수,,,깨수깡,,조사사례집
1740,기타음료수,,,모닝케어,,조사사례집
1740,기타음료수,,,숙취방지 및 해소 등을 위해 구입한 기능성 음료수,,조사사례집
1747,영양보조제,,,컨디션환,,조사사례집
1747,영양보조제,,,상쾌환,,조사사례집
1747,영양보조제,,,상쾌환스틱,,조사사례집
1747,영양보조제,,,"환이나 스틱, 알약 형태의 숙취방지 및 해소 제품",,조사사례집
1030,기타곡물,,,"양념이 가미되거나 굽거나 찌거나, 분쇄 등의 가공 곡물이 아닌 옥수수",,조사사례집
1080,기타곡물가공품,,,말리거나 양념이 가미된(가공) 옥수수,,조사사례집
1592,한과 및 기타과자,,,바로 섭취가 가능한 과자형태로 나온 팝콘형태의 옥수수,,조사사례집
1444,고구마,,,고구마순,,조사사례집
1468,호박,,,호박잎,,조사사례집
1424,깻잎,,,깻잎,,조사사례집
1492,기타채소,,,콩잎,,조사사례집
1161,기타수산동물,,,해물탕 주재료만 있는 경우,,조사사례집
1695,기타미분류식품,,,"해물탕 주재료와 부재료(야채, 양념 등)가 포함되어 있는 경우",,조사사례집
1180,마른오징어,,,가공하지 않은 오징어진미채,,조사사례집
1195,기타수산가공품,,,양념 등 가공한 오징어진미채,,조사사례집
1695,기타미분류식품,,,제빵제과 강습 재료비,,조사사례집
1592,한과및기타과자,,,"스낵목걸이(사탕, 젤리, 기타과자 혼합)",,조사사례집
1570,사탕,,,사탕꽃다발,,조사사례집
1565,초콜릿,,,초콜릿꽃다발,,조사사례집
3120,기타실내장식품,,,비누꽃다발(비누로 만든 꽃공예품),,조사사례집
1690,즉석·동결식품,,,짬탕면(전자레인지용),,조사사례집
1690,즉석·동결식품,,,수타식짬뽕볶음면(전자레인지용),,조사사례집
1665,기타조미식품,,,소스세트(분리불가능),,조사사례집
1680,김치,,,김장김치밀키트(분리불가능),,조사사례집
1592,한과 및 기타과자,,,초코빵,,조사사례집
1592,한과 및 기타과자,,,초코볼,,조사사례집
1592,한과 및 기타과자,,,초코스틱,,조사사례집
1592,한과 및 기타과자,,,초코송이,,조사사례집
1592,한과 및 기타과자,,,초코파이,,조사사례집
1592,한과 및 기타과자,,,초코바,,조사사례집
1592,한과 및 기타과자,,,자유시간,,조사사례집
1592,한과 및 기타과자,,,트윅스,,조사사례집
1565,초콜릿,,,가나초콜렛,,조사사례집
1565,초콜릿,,,킨더조이,,조사사례집
1565,초콜릿,,,페레로로쉐,,조사사례집
1010,멥쌀,,,벼(가계소비용),,조사사례집
1492,기타채소,,,감잎,,조사사례집
1436,당근,,,당근(반려동물먹이용),,조사사례집
1360,기타과일,,,컵과일(혼합),,조사사례집
1695,기타미분류식품,,,떡볶이(비조리),,조사사례집
1092,식빵 및 기타빵,,,마음샌드,,조사사례집
1025,두류,,,숙성병아리콩,,조사사례집
1690,즉석·동결식품,,,현미곤약밥,,조사사례집
1585,아이스크림,,,얼음컵,,조사사례집
1585,아이스크림,,,레몬슬라이스얼음컵,,조사사례집
1585,아이스크림,,,카페요아정,,조사사례집
1365,과일가공품,,,파인애플샤베트,,조사사례집
1710,커피,,,프리마,,조사사례집
1740,기타음료수,,,박카스,,조사사례집
4020,판매양약,,,파스,,조사사례집
1710,커피,,,편의점커피,,조사사례집
1592,기타과자,,,일반 홍삼양갱,,조사사례집
1745,인삼,,,홍삼이 주요 성분인 홍삼양갱,,조사사례집
